2021-12-03 04:19:36+00:00,"b'#Photogram | As winter sets in, Tawang is in its all glory! \n\n\xf0\x9f\x93\x8d Arunachal Pradesh \n\n@ArunachalTsm @tourismgoi\xe2\x80\xa6 https://t.co/d1SmFKUy0H'",b'NortheastToday',"b'Guwahati / Tawang, India'"
,,,
2021-12-03 04:16:54+00:00,b'#AllIndiaInfluencersMeet2021\nIt is a grateful and momentous opportunity to be a part of this Meet and FAM trip unde\xe2\x80\xa6 https://t.co/EPcfYktJrN',b'anzaarnabi',b'India'
,,,
2021-12-03 04:12:31+00:00,b'@RSB_85 @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Awesome',b'AmitPra86065974',b''
,,,
2021-12-03 04:08:57+00:00,"b'@RSB_85 @MgnregaJ @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Excellent Great, so U set office this\xe2\x80\xa6 https://t.co/F1ZfBPbx6K'",b'vedaravishanga1',b''
,,,
2021-12-03 04:07:55+00:00,b'@TempleTrails @Ramesh57574373 @punarutthana @SoniaGurnani19 @sowmiyasid @_ankahi @SriRamya21 @ramapriya1989\xe2\x80\xa6 https://t.co/Bi0lAW6It3',b'pallavict',"b'Mumbai, India'"
,,,
2021-12-03 04:03:09+00:00,b'@RSB_85 @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Potential for\nBoth mental peace and State level\xe2\x80\xa6 https://t.co/RBtWsEFEP7',b'dewmagnet',"b'Jharkhand, India'"
,,,
2021-12-03 03:53:47+00:00,b'@rockeyrandeepjk @JandKTourism @nitishwarKumar @dr_piyushsingla @DrGnitoo @ImRaina @darpanali @tourismgoi\xe2\x80\xa6 https://t.co/M58rQjumTl',b'Tanveer79551076',b'Ganderbal'
,,,
2021-12-03 03:52:57+00:00,b'@VisitUdupi @MinOfCultureGoI @incredibleindia @tourismgoi @KarnatakaWorld @shripadynaik @kishanreddybjp\xe2\x80\xa6 https://t.co/YtuapcQzLL',b'NitheshRai5',"b'Dubai, United Arab Emirates'"
,,,
2021-12-03 03:50:26+00:00,b'#Verinag \n#Anantnag \n#Kashmir \n\nGreat @JandKTourism  for \nAmazing #Verinag Festival to be held on 4th December 2021\xe2\x80\xa6 https://t.co/7jfhFUDftn',b'rockeyrandeepjk',"b'Jammu And Kashmir,New~Delhi'"
,,,
